airport_id,airport_name,city_name,latitude,longitude
FTK,Godman AAF,"Fort Knox, KY",37.90722222,-85.97166667
FTL,Fortuna Ledge Airport,"Fortuna Ledge, AK",61.86833333,-162.06805559999998
FTW,Fort Worth Meacham International,"Dallas/Fort Worth, TX",32.81972222,-97.3625
FTY,Fulton County Airport-Brown Field,"Atlanta, GA",33.77916667,-84.52138889
FUL,Fullerton Municipal,"Fullerton, CA",33.87194444,-117.97972220000001
FVA,Osprey Lodge Airport,"Osprey Lodge, AK",61.11638889,-155.3113889
FVD,Sonora Municipal,"Sonora, TX",30.58555556,-100.6486111
FVE,Fallbrook Community Airpark,"Fallbrook, CA",33.35416667,-117.25083329999998
FVG,Wickenburg Municipal,"Wickenburg, AZ",33.97055556,-112.795
FVH,Othello Municipal,"Othello, WA",46.79416667,-119.08
FVI,Byerley,"Lake Providence, LA",32.82583333,-91.18777778
FVN,Big Sky Field,"Culbertson, MT",48.15361111,-104.5041667
FVO,Aurora State,"Aurora, OR",45.24722222,-122.77
FVP,Gansner Field,"Quincy, CA",39.94388889,-120.9452778
FVQ,Donlin Creek Mine Airport,"Donlin Creek Mine, AK",62.07194444,-158.2041667
FVR,Three Forks Airport,"Three Forks, MT",45.87861111,-111.56916670000001
FVS,Rexburg-Madison County,"Rexburg, ID",43.83388889,-111.805
FVV,Kern Valley,"Kernville, CA",35.72833333,-118.41972220000001
FVW,Golden Creek Mine Airport,"Golden Creek Mine, AK",65.28333333,-153.0
FVX,Grace Harbor Airport,"Grace Harbor, AK",54.91666667,-132.9166667
FVY,Unuk River Airport,"Unuk River, AK",56.08333333,-131.96666670000002
FVZ,Inigok,"Deadhorse, AK",70.00388889,-153.0775
FWA,Fort Wayne International,"Fort Wayne, IN",40.97833333,-85.19527778
FWH,Fort Worth NAS JRB/Carswell Field,"Fort Worth, TX",32.76916667,-97.44166667
FWL,Farewell Airport,"Farewell, AK",62.50916667,-153.8902778
FWS,Fort Worth Spinks,"Fort Worth, TX",32.56527778,-97.30833333
FXE,Fort Lauderdale Executive,"Fort Lauderdale, FL",26.19722222,-80.17083333
A35,Bullen Point AFS,"Kaktovik, AK",70.17277778,-146.8361111
FXR,Frankfort Municipal,"Clinton, IN",40.27333333,-86.56222222
FXY,Forest City Municipal,"Forest City, IA",43.23472222,-93.62416667
FYU,Fort Yukon Airport,"Fort Yukon, AK",66.5725,-145.2463889
FYV,Drake Field,"Fayetteville, AR",36.005,-94.17
GA1,Barwick Lafayette,"Lafayette, GA",34.68861111,-85.29027778
GA2,West Georgia Regional - O V Gray Field,"Carrollton, GA",33.63166667,-85.15222222
GA3,Newnan Coweta County,"Atlanta, GA",33.31166667,-84.76972222
GAD,Northeast Alabama Regional,"Gadsden, AL",33.97277778,-86.08916667
GAI,Montgomery County Airpark,"Gaithersburg, MD",39.16833333,-77.16611111
GAL,Edward G. Pitka Sr.,"Galena, AK",64.73611111,-156.9375
GAM,Gambell Airport,"Gambell, AK",63.76666667,-171.7327778
GBA,Goose Bay AAF,"Goose Bay, AK",61.395,-149.8416667
GBD,Great Bend Municipal,"Great Bend, KS",38.34416667,-98.85916667
GBG,Galesburg Municipal,"Galesburg, IL",40.93805556,-90.43111111
GBH,Galbraith Lake Airport,"Galbraith Lake, AK",68.47972222,-149.49
GBR,Walter J. Koladza,"Great Barrington, MA",42.18416667,-73.40333333
GCC,Gillette Campbell County,"Gillette, WY",44.34888889,-105.53944440000001
GCK,Garden City Regional,"Garden City, KS",37.9275,-100.7244444
GCN,Grand Canyon National Park,"Grand Canyon, AZ",35.95222222,-112.14694440000001
GCY,Municipal,"Greeneville, TN",36.19138889,-82.81666667
GDC,Donaldson Field,"Greenville, SC",34.75833333,-82.37638889
GDH,Golden Horn Lodge Seaplane Base,"Golden Horn Lodge, AK",59.74694444,-158.87472219999998
GDM,Gardner Municipal,"Gardner, MA",42.55,-72.01611111
GDV,Dawson Community,"Glendive, MT",47.13861111,-104.80722220000001
GDW,Gladwin Zettel Memorial,"Gladwin, MI",43.97055556,-84.475
GED,Delaware Coastal,"Georgetown, DE",38.68777778,-75.35944444
GEG,Spokane International,"Spokane, WA",47.61916667,-117.53527779999999
GEK,Ganes Creek Airport,"Ganes Creek, AK",62.97555556,-156.5133333
GEY,South Big Horn County,"Greybull, WY",44.51805556,-108.08305559999998
GEZ,Shelbyville Municipal,"Shelbyville, IN",39.58305556,-85.80472222
GFA,Malmstrom AFB Heliport,"Great Falls, MT",47.50472222,-111.18722220000001
GFB,Togiak Fish Airport,"Togiak Fish, AK",59.05,-160.2833333
GFK,Grand Forks International,"Grand Forks, ND",47.94722222,-97.17388889
GFL,Floyd Bennett Memorial,"Glens Falls, NY",43.34111111,-73.61027778
GGE,Georgetown County,"Georgetown, SC",33.31138889,-79.32027778
GGG,East Texas Regional,"Longview, TX",32.38388889,-94.71138889
GGW,Wokal Field/Glasgow International,"Glasgow, MT",48.2125,-106.6147222
GJT,Grand Junction Regional,"Grand Junction, CO",39.1225,-108.5266667
GKN,Gulkana Airport,"Gulkana, AK",62.155,-145.4544444
GLD,Renner Field,"Goodland, KS",39.37055556,-101.69888890000001
GLH,Greenville Mid Delta,"Greenville, MS",33.48277778,-90.98555556
GLQ,Glennallen Airport,"Glennallen, AK",62.11861111,-145.55
GLR,Gaylord Regional,"Gaylord, MI",45.01305556,-84.70333333
GLS,Scholes International at Galveston,"Galveston, TX",29.26527778,-94.86055556
GLV,Golovin Airport,"Golovin, AK",64.55055556,-163.00722219999997
GLW,Glasgow Municipal,"Glasgow, KY",37.03166667,-85.95361111
